"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"alarmTrapTable",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable",".1.3.6.1.4.1.4329.2.45.5.3","SEQUENCE OF AlarmTrapTableEntry","accessible-for-notify","","SharedServices-MIB","This table shows the contents of an alarm trap. Alarm traps are generated if specified faults appear in the services. Objects definitions alarmTimestampOff and alarmTimestampReceived have become obsolete."
"alarmTrapTableEntry",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry",".1.3.6.1.4.1.4329.2.45.5.3.1","AlarmTrapTableEntry","not-accessible","alarmTableIndex","SharedServices-MIB","The alarm trap table entries."
"alarmTableIndex",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmTableIndex",".1.3.6.1.4.1.4329.2.45.5.3.1.1","INTEGER","read-only","","SharedServices-MIB","A consecutive number of the alarm-traps."
"alarmId",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmId",".1.3.6.1.4.1.4329.2.45.5.3.1.2","INTEGER","read-only","","SharedServices-MIB","The unique identifier of the alarm."
"alarmServiceGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmServiceGuid",".1.3.6.1.4.1.4329.2.45.5.3.1.3","OCTET STRING","read-only","","SharedServices-MIB","The GUID of the service which raises the alarm."
"alarmContainerGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmContainerGuid",".1.3.6.1.4.1.4329.2.45.5.3.1.4","OCTET STRING","read-only","","SharedServices-MIB","The GUID of the container the alarm source is running on."
"alarmNodeGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmNodeGuid",".1.3.6.1.4.1.4329.2.45.5.3.1.5","OCTET STRING","read-only","","SharedServices-MIB","The configured (fixed) node id of the node the alarm source is running on."
"alarmTitle",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmTitle",".1.3.6.1.4.1.4329.2.45.5.3.1.6","OCTET STRING","read-only","","SharedServices-MIB","The title of the alarm. Possible are any free configurable strings."
"alarmState",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmState",".1.3.6.1.4.1.4329.2.45.5.3.1.7","INTEGER","read-only","","SharedServices-MIB","Status of the alarm:alarm status on, alarm status off. The alarm is still visible if the status changes to 'off'."
"alarmSourceGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmSourceGuid",".1.3.6.1.4.1.4329.2.45.5.3.1.8","OCTET STRING","read-only","","SharedServices-MIB","The GUID of the alarm source. Possible values are the configured (fixed) GUIDs of the FaultHandler instance or HP8k trapReceiver instance."
"alarmSourceName",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmSourceName",".1.3.6.1.4.1.4329.2.45.5.3.1.9","OCTET STRING","read-only","","SharedServices-MIB","The name of the alarm source. Possible values are the configured (changeable) display names of the Fault Handler instance or HP8k trapReceiver instance."
